Ref,Val,Package,PosX,PosY,Rot,Side
"J2","JST Battery","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-95.350000,-21.900000,90.000000,bottom
"SW10","Reset Switch Front","SW_SPST_TL3342",-42.926000,-19.558000,0.000000,bottom
